Name;Status;Score;Eps watched;Start date;Finish date;Season;Year
Another;Watching;;1;27-11-21;;Winter 2012;2012
Blue Period;Watching;;7;15-10-21;;Fall 2021;2021
Kimetsu no Yaiba;Watching;;9;07-11-21;;Spring 2019;2019
Komi-san wa, Comyushou desu.;Watching;;8;07-10-21;;Fall 2021;2021
Kono Subarashii Sekai ni Shukufuku wo!;Watching;;6;29-11-21;;Winter 2016;2016
Senpai ga Uzai Kouhai no Hanashi;Watching;;8;22-10-21;;Fall 2021;2021
Taishou Otome Otogibanashi;Watching;;1;26-11-21;;Fall 2021;2021
Cider no You ni Kotoba ga Wakiagaru;Completed;7;1;25-08-21;25-08-21;Summer 2021;2021
Darling in the FranXX;Completed;9;24;03-10-21;06-10-21;Winter 2018;2018
Haikyuu!!;Completed;7;25;18-08-21;23-08-21;Spring 2014;2014
Horimiya;Completed;9;13;16-08-21;17-08-21;Winter 2021;2021
K-On!;Completed;8;13;30-09-21;02-10-21;Spring 2009;2009
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen;Completed;10;12;10-10-21;13-10-21;Winter 2019;2019
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai;Completed;9;1;22-10-21;22-10-21;Fall 2021;2021
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen;Completed;10;12;13-10-21;17-10-21;Spring 2020;2020
Kanojo mo Kanojo;Completed;7;12;21-09-21;26-09-21;Summer 2021;2021
Kanojo, Okarishimasu;Completed;6;12;17-10-21;02-11-21;Summer 2020;2020
Kimi no Na wa.;Completed;9;1;12-11-21;12-11-21;Summer 2016;2016
Kobayashi-san Chi no Maid Dragon;Completed;8;13;29-09-21;04-11-21;Winter 2017;2017
Kobayashi-san Chi no Maid Dragon S;Completed;9;12;09-11-21;25-11-21;Summer 2021;2021
Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai;Completed;7;1;04-11-21;04-11-21;Summer 2017;2017
Koe no Katachi;Completed;8;1;11-08-21;11-08-21;Summer 2016;2016
Lovely★Complex;Completed;6;24;28-08-21;31-08-21;Spring 2007;2007
Noragami;Completed;9;12;01-09-21;04-09-21;Winter 2014;2014
Noragami Aragoto;Completed;8;13;04-09-21;05-09-21;Fall 2015;2015
Saiki Kusuo no Ψ-nan;Completed;9;120;12-09-21;20-09-21;Summer 2016;2016
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai;Completed;10;13;12-08-21;13-08-21;Fall 2018;2018
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai;Completed;10;1;14-08-21;14-08-21;Spring 2019;2019
Shigatsu wa Kimi no Uso;Completed;9;22;07-08-21;09-08-21;Fall 2014;2014
Tonari no Kaibutsu-kun;Completed;7;13;08-09-21;10-09-21;Fall 2012;2012
Tonikaku Kawaii;Completed;8;12;24-08-21;27-08-21;Fall 2020;2020
Tonikaku Kawaii: SNS;Completed;8;1;27-08-21;27-08-21;Summer 2021;2021
Toradora!;Completed;10;25;24-07-21;28-07-21;Fall 2008;2008
Toradora!: Bentou no Gokui;Completed;8;1;29-07-21;29-07-21;Fall 2011;2011
Wonder Egg Priority;Completed;8;12;15-11-21;26-11-21;Winter 2021;2021
Wonder Egg Priority Special;Completed;5;1;26-11-21;26-11-21;Spring 2021;2021
Death Note;On Hold;;13;30-07-21;;Fall 2006;2006
K-On!!;On Hold;;4;09-10-21;;Spring 2010;2010
